epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.401,1.63227,2.85888,5.09136,2.0924,0.6824,0.25604,0.27511,0.15212,0.69309,0.26058,0.2908,0.18605,1.77795,3.23819,3.26685,2.41512,0.000830224,0.000830224,0.000830224
2,431.406,1.72941,2.81797,2.71877,2.11857,0.40976,0.2526,0.19632,0.08788,0.24303,0.3076,0.19754,0.09347,2.05684,3.61998,2.72717,2.49605,0.00165532,0.00165532,0.00165532
3,501.735,1.758,2.76641,2.17017,2.13508,0.38717,0.28043,0.23213,0.11871,0.38896,0.27636,0.23443,0.12453,1.92918,3.23639,2.77177,2.47478,0.00247217,0.00247217,0.00247217
4,573.232,1.72282,2.68547,1.97953,2.07564,0.59129,0.49305,0.47606,0.24394,0.58691,0.48808,0.47021,0.25275,1.80454,2.78396,1.87899,2.22515,0.00246287,0.00246287,0.00246287
5,641.05,1.5987,2.54928,1.70805,1.96097,0.65133,0.50872,0.57323,0.32032,0.64426,0.52374,0.5878,0.35183,1.56413,2.52811,1.60704,1.98537,0.0024505,0.0024505,0.0024505
6,710.079,1.57119,2.50515,1.61661,1.93501,0.71758,0.6419,0.70283,0.40713,0.71282,0.64246,0.70606,0.41753,1.50413,2.28689,1.33056,1.92051,0.00243812,0.00243812,0.00243812
7,778.908,1.53433,2.45963,1.57685,1.89073,0.66781,0.55768,0.62933,0.3813,0.66949,0.55033,0.61874,0.39539,1.43648,2.37996,1.50723,1.84582,0.00242575,0.00242575,0.00242575
8,849.427,1.50947,2.42151,1.49009,1.87951,0.55145,0.59441,0.58724,0.35201,0.54706,0.58207,0.57774,0.35393,1.49242,2.39507,1.56735,1.9071,0.00241337,0.00241337,0.00241337
9,908.929,1.49794,2.36383,1.46934,1.86351,0.68798,0.62272,0.67194,0.40594,0.69548,0.62663,0.67957,0.42191,1.50232,2.33141,1.36307,1.86941,0.002401,0.002401,0.002401
10,1007.95,1.46777,2.37143,1.41783,1.83674,0.73941,0.70909,0.77867,0.48355,0.73231,0.71215,0.77813,0.48021,1.35446,2.21141,1.13258,1.79883,0.00238862,0.00238862,0.00238862
11,1080,1.44965,2.34017,1.38499,1.83129,0.73878,0.7484,0.78391,0.49351,0.75209,0.74644,0.78486,0.49059,1.35989,2.19503,1.0899,1.8106,0.00237625,0.00237625,0.00237625
12,1153.16,1.42153,2.31613,1.3252,1.79772,0.67687,0.68047,0.72173,0.46615,0.67738,0.67337,0.71656,0.44402,1.31116,2.21465,1.22982,1.73771,0.00236388,0.00236388,0.00236388
13,1215.56,1.40515,2.27913,1.30102,1.783,0.72217,0.7274,0.7794,0.50142,0.73257,0.71725,0.7732,0.47972,1.32679,2.39483,1.0685,1.74199,0.0023515,0.0023515,0.0023515
14,1290.37,1.37336,2.22889,1.25577,1.75412,0.75251,0.74514,0.78811,0.50252,0.75905,0.72449,0.77976,0.5016,1.34055,2.18388,1.0862,1.72115,0.00233913,0.00233913,0.00233913
15,1368.51,1.37138,2.2443,1.22395,1.78507,0.69996,0.66441,0.73675,0.4618,0.6946,0.65519,0.72393,0.42949,1.31061,2.30626,1.17674,1.75217,0.00232675,0.00232675,0.00232675
16,1462.86,1.35095,2.20325,1.21662,1.73679,0.77785,0.71788,0.79939,0.50987,0.77629,0.7166,0.79048,0.49094,1.28497,2.23711,1.03041,1.70255,0.00231438,0.00231438,0.00231438
17,1563.27,1.3576,2.19412,1.1658,1.74372,0.72911,0.6904,0.76691,0.49049,0.72943,0.69157,0.76543,0.4836,1.30979,2.14103,1.10053,1.76562,0.002302,0.002302,0.002302
18,1665.01,1.32499,2.16739,1.14778,1.71257,0.78097,0.73313,0.80394,0.513,0.77848,0.72431,0.79355,0.49595,1.33754,2.1867,1.01783,1.762,0.00228962,0.00228962,0.00228962
19,1774.47,1.29049,2.13467,1.11159,1.67759,0.67852,0.71266,0.75099,0.48056,0.67697,0.69956,0.7416,0.46218,1.36459,2.23925,1.12821,1.79227,0.00227725,0.00227725,0.00227725
20,1875.77,1.30505,2.15601,1.13348,1.71172,0.7212,0.71589,0.76808,0.50966,0.71621,0.70676,0.75486,0.49395,1.24275,2.1488,1.08776,1.67154,0.00226487,0.00226487,0.00226487
21,1984.56,1.3006,2.12742,1.10377,1.67892,0.75236,0.67736,0.75908,0.4903,0.74913,0.67227,0.75393,0.49331,1.32581,2.12871,1.1326,1.73188,0.0022525,0.0022525,0.0022525
22,2086.8,1.27708,2.11647,1.07985,1.67872,0.83394,0.75119,0.8316,0.54093,0.83063,0.74898,0.82886,0.52927,1.28797,2.08647,0.90368,1.73224,0.00224012,0.00224012,0.00224012
23,2182.51,1.27637,2.09433,1.05129,1.65435,0.77784,0.67365,0.7686,0.52035,0.77391,0.66737,0.76334,0.49821,1.23688,2.12609,1.10011,1.66911,0.00222775,0.00222775,0.00222775
24,2281.53,1.27505,2.08845,1.04495,1.66159,0.79249,0.73468,0.82124,0.53751,0.78658,0.72868,0.81096,0.51243,1.27584,2.1369,0.95119,1.72497,0.00221537,0.00221537,0.00221537
25,2390.52,1.26935,2.08465,1.02736,1.66506,0.70083,0.71124,0.71747,0.47475,0.70444,0.69617,0.70893,0.45365,1.31701,2.22196,1.2174,1.72533,0.002203,0.002203,0.002203
26,2484.63,1.26557,2.06015,1.02246,1.64789,0.75157,0.70651,0.78772,0.52975,0.80527,0.65736,0.77783,0.49911,1.21763,2.16737,1.03206,1.67298,0.00219062,0.00219062,0.00219062
27,2593.76,1.2374,2.04214,1.01009,1.63028,0.8129,0.78667,0.84605,0.56763,0.80322,0.75733,0.82548,0.54515,1.23528,2.12003,0.87055,1.65305,0.00217825,0.00217825,0.00217825
28,2698.56,1.22392,2.03688,0.99339,1.61152,0.80898,0.75713,0.82538,0.54923,0.79681,0.76082,0.81855,0.53876,1.23707,2.03097,0.92973,1.65829,0.00216587,0.00216587,0.00216587
29,2797.14,1.22219,2.0228,0.97952,1.61005,0.74355,0.7508,0.82504,0.55113,0.73985,0.75815,0.8219,0.53283,1.23448,2.04546,0.95127,1.65893,0.0021535,0.0021535,0.0021535
30,2905.91,1.22022,2.0098,0.94783,1.63354,0.83595,0.76395,0.84747,0.59373,0.83179,0.7741,0.84762,0.56978,1.13705,1.9955,0.82061,1.58413,0.00214112,0.00214112,0.00214112
31,3015.92,1.20215,1.99338,0.93122,1.59285,0.83449,0.75162,0.83854,0.56877,0.83472,0.74608,0.82279,0.53643,1.2113,2.0982,0.87482,1.66221,0.00212875,0.00212875,0.00212875
32,3133.99,1.20028,1.98539,0.93666,1.59243,0.83107,0.77723,0.84743,0.57606,0.82949,0.76725,0.83657,0.54384,1.2022,2.06518,0.88088,1.63461,0.00211638,0.00211638,0.00211638
33,3237.47,1.18783,1.9612,0.90252,1.57709,0.78696,0.78855,0.84865,0.5797,0.77656,0.78158,0.83628,0.55672,1.1652,2.01577,0.8252,1.60378,0.002104,0.002104,0.002104
34,3353.7,1.17956,1.96812,0.89994,1.56621,0.82418,0.78177,0.85943,0.58717,0.81803,0.7756,0.85128,0.56713,1.16651,2.01509,0.84175,1.61079,0.00209163,0.00209163,0.00209163
35,3455,1.18961,1.98091,0.89352,1.5933,0.81092,0.80351,0.84338,0.5791,0.80517,0.79741,0.83392,0.54892,1.16779,2.0738,0.83441,1.61244,0.00207925,0.00207925,0.00207925
36,3558.5,1.16609,1.95283,0.87693,1.57567,0.83629,0.78307,0.85472,0.58728,0.82774,0.77711,0.84807,0.56484,1.1557,2.02395,0.8188,1.59537,0.00206688,0.00206688,0.00206688
37,3658.82,1.16479,1.91853,0.83649,1.55953,0.79303,0.83357,0.8687,0.59097,0.78258,0.82698,0.85344,0.57535,1.18194,2.06449,0.78974,1.62206,0.0020545,0.0020545,0.0020545
38,3765.37,1.16311,1.93001,0.84233,1.54471,0.77854,0.80709,0.84718,0.58302,0.80516,0.77309,0.83803,0.54698,1.15666,2.08904,0.84835,1.59965,0.00204213,0.00204213,0.00204213
39,3867.05,1.14588,1.90223,0.83962,1.54393,0.79128,0.7968,0.84484,0.56534,0.78719,0.79593,0.83465,0.54755,1.2107,2.08007,0.89355,1.63263,0.00202975,0.00202975,0.00202975
40,3974.6,1.13571,1.9072,0.84514,1.53789,0.83767,0.76896,0.8454,0.57717,0.8252,0.75955,0.82738,0.54803,1.17594,2.08771,0.84776,1.61625,0.00201738,0.00201738,0.00201738
41,4081.65,1.12359,1.89221,0.82635,1.52764,0.83815,0.81872,0.86296,0.5844,0.8264,0.8126,0.8489,0.55853,1.17315,2.11335,0.79713,1.62249,0.002005,0.002005,0.002005
42,4185.54,1.13643,1.88741,0.81266,1.52583,0.77031,0.75537,0.81571,0.55933,0.76881,0.74319,0.80569,0.53985,1.1916,2.0433,0.91826,1.60745,0.00199263,0.00199263,0.00199263
43,4291.38,1.10102,1.86718,0.78454,1.50881,0.82163,0.80711,0.85545,0.59408,0.81159,0.80516,0.84438,0.56817,1.15023,1.99008,0.7923,1.588,0.00198025,0.00198025,0.00198025
44,4393.45,1.10558,1.83407,0.78404,1.49738,0.84031,0.84311,0.86916,0.60142,0.83005,0.83359,0.85588,0.5741,1.13205,2.03445,0.75637,1.58342,0.00196788,0.00196788,0.00196788
45,4499.03,1.11992,1.86439,0.80403,1.52506,0.83698,0.80141,0.86641,0.59582,0.82734,0.79308,0.85514,0.5782,1.13242,1.9929,0.82141,1.59035,0.0019555,0.0019555,0.0019555
46,4606.12,1.09887,1.85791,0.77043,1.48816,0.83716,0.78285,0.85631,0.59083,0.82589,0.76744,0.84302,0.57688,1.15406,2.00352,0.82878,1.59711,0.00194312,0.00194312,0.00194312
47,4711.71,1.10388,1.85206,0.77343,1.49913,0.83818,0.81401,0.8634,0.61056,0.83368,0.81059,0.85937,0.58028,1.09616,1.97498,0.75727,1.55223,0.00193075,0.00193075,0.00193075
48,4808.44,1.08517,1.82005,0.74462,1.50266,0.85751,0.77591,0.85706,0.59395,0.82564,0.79583,0.85044,0.56724,1.1587,2.05807,0.79071,1.60484,0.00191837,0.00191837,0.00191837
49,4906.08,1.07388,1.80773,0.7214,1.47337,0.84224,0.80283,0.86136,0.60162,0.8274,0.79607,0.85345,0.57309,1.12615,2.05136,0.79001,1.58189,0.001906,0.001906,0.001906
50,5012.06,1.07878,1.78802,0.72321,1.48025,0.81997,0.82789,0.85883,0.60492,0.82168,0.81055,0.85179,0.57476,1.12659,2.02471,0.77545,1.58892,0.00189362,0.00189362,0.00189362
51,5116.1,1.06947,1.79992,0.70389,1.47376,0.86871,0.82493,0.87822,0.61999,0.86498,0.82138,0.87006,0.58948,1.13172,2.05387,0.69984,1.61109,0.00188125,0.00188125,0.00188125
52,5215.68,1.07532,1.7874,0.70419,1.46478,0.83748,0.80344,0.85929,0.60405,0.82969,0.79826,0.84768,0.5781,1.12076,2.04422,0.76609,1.57944,0.00186888,0.00186888,0.00186888
53,5324.18,1.06053,1.79244,0.71302,1.46942,0.82112,0.83301,0.86242,0.60684,0.82534,0.83739,0.86456,0.58474,1.13425,2.00537,0.72223,1.59387,0.0018565,0.0018565,0.0018565
54,5437.59,1.06007,1.76937,0.70304,1.46008,0.86272,0.80766,0.87306,0.60886,0.85666,0.80068,0.86616,0.58537,1.13095,2.08301,0.7373,1.60559,0.00184413,0.00184413,0.00184413
55,5543.63,1.05383,1.75635,0.69852,1.45481,0.81315,0.7877,0.84103,0.58658,0.80895,0.77894,0.82628,0.56622,1.16442,2.07755,0.83326,1.61054,0.00183175,0.00183175,0.00183175
56,5640.49,1.02102,1.73297,0.66262,1.4086,0.83788,0.82665,0.87385,0.61448,0.84885,0.81604,0.8718,0.5841,1.12498,2.06849,0.72929,1.57362,0.00181938,0.00181938,0.00181938
